"INDEX(MINUTES)","DEBT-STDVM","DEBT-IQRMC","DEBT-IQRMMT","DEBT-LRMMT"
"0","0.00","0.73","0.74","0.76"
"5","0.66","0.73","0.74","0.76"
"10","0.17","0.77","0.78","0.80"
"15","0.11","0.70","0.71","0.74"
"20","0.11","0.72","0.73","0.75"
"25","0.10","0.70","0.71","0.73"
"30","0.50","0.67","0.68","0.70"
"35","0.45","0.68","0.69","0.71"
"40","0.09","0.80","0.81","0.83"
"45","0.02","0.73","0.74","0.76"
"50","0.03","0.72","0.73","0.75"
"55","0.08","0.76","0.77","0.79"
"60","0.06","0.75","0.76","0.78"
"65","0.04","0.71","0.72","0.74"
"70","0.06","0.77","0.78","0.81"
"75","0.03","0.75","0.76","0.79"
"80","0.09","0.79","0.80","0.82"
"85","0.03","0.76","0.77","0.79"
"90","0.15","0.68","0.69","0.70"
"95","0.03","0.78","0.79","0.80"
"100","0.11","0.71","0.83","0.83"
"105","0.04","0.74","0.72","0.73"
"110","0.03","0.77","0.75","0.76"
"115","0.08","0.81","0.78","0.86"
"120","0.14","0.77","0.82","0.83"
"125","0.54","0.67","0.93","0.79"
"130","0.55","0.68","0.79","0.95"
"135","0.04","0.65","0.76","0.77"
"140","0.06","0.66","0.77","0.78"
"145","0.03","0.63","0.74","0.82"
"150","0.02","0.62","0.74","0.74"
"155","0.03","0.66","0.77","0.78"
"160","0.01","0.63","0.74","0.85"
"165","0.03","0.60","0.71","0.72"
"170","0.01","0.65","0.76","0.77"
"175","0.02","0.63","0.94","0.84"
"180","0.01","0.65","0.76","0.77"
"185","0.03","0.66","0.77","0.78"
"190","0.05","0.65","0.76","0.92"
"195","0.49","0.62","0.73","0.74"
"200","0.53","0.66","0.84","0.78"
"205","0.02","0.63","0.74","0.94"
"210","0.05","0.60","0.71","0.72"
"215","0.04","0.61","0.72","0.73"
"220","0.04","0.68","0.79","0.86"
"225","0.02","0.65","0.82","0.77"
"230","0.06","0.66","0.77","0.79"
"235","0.52","0.65","0.76","0.82"
"240","0.50","0.63","0.74","0.75"
"245","0.03","0.60","0.71","0.72"
"250","0.03","0.65","0.85","0.88"
"255","0.02","0.63","0.74","0.75"
"260","0.01","0.65","0.76","0.77"
"265","0.01","0.65","0.76","0.98"
"270","0.05","0.60","0.71","0.72"
"275","0.04","0.62","0.77","0.74"
"280","0.06","0.66","0.77","0.96"
"285","0.08","0.68","0.79","0.80"
"290","0.02","0.65","0.76","0.77"
"295","0.06","0.66","0.77","0.97"
"300","0.52","0.65","0.95","0.77"
"305","0.51","0.64","0.75","0.76"
"310","0.08","0.67","0.78","0.81"
"315","0.01","0.63","0.74","0.75"
"320","0.04","0.67","0.78","0.79"
"325","0.03","0.65","0.79","0.86"
"330","0.07","0.58","0.69","0.70"
"335","0.06","0.62","0.73","0.74"
"340","0.05","0.66","0.77","0.87"
"345","0.06","0.65","0.76","0.77"
"350","0.06","0.67","0.86","0.79"
"355","0.06","0.66","0.77","0.85"
"360","0.08","0.68","0.79","0.80"
"365","0.54","0.67","0.78","0.80"
"370","0.50","0.63","0.74","0.90"
"375","0.10","0.68","0.86","0.80"
"380","0.02","0.63","0.74","0.75"
"385","0.05","0.64","0.75","0.85"
"390","0.02","0.65","0.76","0.77"
"395","0.03","0.67","0.78","0.79"
"400","0.04","0.67","0.93","0.99"
"405","0.08","0.66","0.77","0.78"
"410","0.06","0.65","0.76","0.77"
"415","0.04","0.65","0.76","0.90"
"420","0.04","0.66","0.77","0.78"
"425","0.53","0.66","0.86","0.78"
"430","0.52","0.65","0.76","1.00"
"435","0.03","0.61","0.72","0.73"
"440","0.02","0.64","0.75","0.76"
"445","0.05","0.65","0.76","0.90"
"450","0.41","0.54","0.74","0.66"
"455","0.45","0.58","0.69","0.70"
"460","0.03","0.64","0.75","0.84"
"465","0.05","0.58","0.69","0.71"
"470","0.03","0.64","0.75","0.76"
"475","0.48","0.61","0.83","0.96"
"480","0.51","0.64","0.75","0.76"
"485","0.06","0.60","0.71","0.72"
"490","0.02","0.65","0.76","0.88"
"495","0.03","0.62","0.73","0.74"
"500","0.51","0.64","0.76","0.76"
"505","0.46","0.59","0.70","0.82"
"510","0.19","0.49","0.60","0.61"
"515","0.11","0.51","0.62","0.63"
"520","0.03","0.65","0.76","0.91"
"525","0.54","0.67","0.98","0.79"
"530","0.53","0.66","0.77","0.79"
"535","0.04","0.61","0.72","0.89"
"540","0.03","0.65","0.76","0.77"
"545","0.02","0.62","0.73","0.74"
"550","0.02","0.64","0.90","0.97"
"555","0.03","0.61","0.72","0.73"
"560","0.04","0.62","0.73","0.75"
"565","0.06","0.60","0.71","0.89"
"570","0.13","0.53","0.64","0.66"
"575","0.03","0.63","0.81","0.75"
"580","0.04","0.67","0.78","0.85"
"585","0.07","0.66","0.77","0.78"
"590","0.52","0.65","0.76","0.77"
"595","0.52","0.65","0.76","0.90"
"600","0.03","0.64","0.85","0.76"
"605","0.02","0.60","0.71","0.72"
"610","0.05","0.56","0.67","0.75"
"615","0.03","0.62","0.73","0.74"
"620","0.01","0.65","0.76","0.77"
"625","0.02","0.62","0.84","0.89"
"630","0.18","0.50","0.61","0.62"
"635","0.09","0.58","0.69","0.70"
"640","0.57","0.70","0.81","0.87"
"645","0.46","0.59","0.70","0.71"
"650","0.06","0.56","0.74","0.68"
"655","0.04","0.60","0.71","0.79"
"660","0.04","0.63","0.74","0.75"
"665","0.02","0.65","0.76","0.77"
"670","0.07","0.70","0.81","0.91"
"675","0.05","0.66","0.93","0.78"
"680","0.06","0.57","0.68","0.69"
"685","0.02","0.64","0.75","0.90"
"690","0.15","0.54","0.65","0.66"
"695","0.04","0.63","0.74","0.75"
"700","0.12","0.70","1.02","1.03"
"705","0.02","0.63","0.74","0.75"
"710","0.03","0.64","0.75","0.76"
"715","0.03","0.62","0.73","0.80"
"720","0.10","0.69","0.80","0.81"
"725","0.09","0.65","0.80","0.77"
"730","0.06","0.66","0.77","0.93"
"735","0.06","0.66","0.77","0.78"
"740","0.03","0.63","0.74","0.75"
"745","0.05","0.63","0.74","0.98"
"750","0.20","0.51","0.83","0.63"
"755","0.06","0.61","0.72","0.73"
"760","0.03","0.63","0.74","0.81"
"765","0.05","0.65","0.76","0.77"
"770","0.08","0.67","0.78","0.79"
"775","0.03","0.65","0.95","0.91"
"780","0.08","0.67","0.78","0.79"
"785","0.02","0.63","0.74","0.75"
"790","0.08","0.67","0.78","0.94"
"795","0.04","0.63","0.74","0.76"
"800","0.04","0.62","0.81","0.74"
"805","0.07","0.66","0.77","0.93"
"810","0.15","0.55","0.66","0.67"
"815","0.03","0.60","0.71","0.72"
"820","0.03","0.61","0.72","0.87"
"825","0.09","0.69","0.99","0.81"
"830","0.52","0.65","0.76","0.77"
"835","0.54","0.67","0.78","0.89"
"840","0.04","0.65","0.76","0.77"
"845","0.04","0.65","0.76","0.77"
"850","0.03","0.63","0.87","0.82"
"855","0.05","0.60","0.71","0.72"
"860","0.04","0.67","0.78","0.79"
"865","0.01","0.64","0.75","0.96"
"870","0.08","0.57","0.68","0.69"
"875","0.08","0.59","0.80","0.71"
"880","0.05","0.60","0.71","0.83"
"885","0.07","0.58","0.69","0.70"
"890","0.08","0.56","0.67","0.68"
"895","0.03","0.62","0.73","0.86"
"900","0.06","0.63","0.98","0.75"
"905","0.04","0.63","0.74","0.75"
"910","0.04","0.63","0.74","0.82"
"915","0.48","0.61","0.72","0.73"
"920","0.52","0.65","0.76","0.77"
"925","0.03","0.58","0.86","0.74"
"930","0.16","0.53","0.64","0.65"
"935","0.04","0.62","0.73","0.75"
"940","0.04","0.67","0.78","0.86"
"945","0.07","0.65","0.76","0.77"
"950","0.51","0.64","0.89","0.76"
"955","0.50","0.63","0.74","0.97"
"960","0.06","0.66","0.77","0.78"
"965","0.06","0.68","0.79","0.80"
"970","0.03","0.63","0.74","0.96"
"975","0.02","0.63","0.83","0.75"
"980","0.05","0.65","0.76","0.77"
"985","0.03","0.55","0.66","0.75"
"990","0.02","0.61","0.72","0.73"
"995","0.12","0.47","0.58","0.59"
"1000","0.04","0.59","0.86","0.80"
"1005","0.54","0.67","0.78","0.79"
"1010","0.54","0.67","0.78","0.79"
"1015","0.05","0.61","0.72","0.82"
"1020","0.07","0.65","0.76","0.78"
"1025","0.03","0.64","0.87","0.76"
"1030","0.01","0.65","0.76","0.84"
"1035","0.05","0.67","0.78","0.79"
"1040","0.08","0.70","0.81","0.83"
"1045","0.09","0.68","0.79","0.91"
"1050","0.11","0.56","0.87","0.68"
