"INDEX(MINUTES)","TOTAL RESOURCE","STDVM","LRMMT","IQRMT","IQRMC"
"0","1097","201","96","103","108"
"5","1112","202","97","104","109"
"10","1018","189","87","94","99"
"15","1140","311","101","108","113"
"20","1149","313","100","107","112"
"25","1166","318","104","111","116"
"30","1251","341","112","119","124"
"35","1188","152","106","113","118"
"40","918","140","78","85","90"
"45","1051","159","93","100","105"
"50","1132","168","99","106","111"
"55","1013","153","88","95","100"
"60","1053","158","92","99","104"
"65","1153","172","102","109","114"
"70","1045","156","89","96","101"
"75","1102","163","94","101","106"
"80","1005","151","85","92","97"
"85","1107","164","94","101","106"
"90","1325","193","117","124","129"
"95","1135","167","96","103","108"
"100","969","147","79","90","95"
"105","1153","172","102","109","114"
"110","1086","163","95","102","107"
"115","1016","153","74","95","100"
"120","915","166","78","85","90"
"125","970","176","85","92","97"
"130","1020","153","67","95","100"
"135","1084","141","95","102","107"
"140","1045","137","91","98","103"
"145","1093","142","86","104","109"
"150","1100","144","98","105","110"
"155","1061","138","92","99","104"
"160","1076","141","80","102","107"
"165","1070","143","97","104","109"
"170","1090","140","95","102","107"
"175","1101","143","85","104","109"
"180","1084","140","94","101","106"
"185","1053","158","92","99","104"
"190","1054","190","77","99","104"
"195","1117","201","99","106","111"
"200","1052","158","91","98","103"
"205","1106","143","72","105","110"
"210","1169","150","104","111","116"
"215","1151","148","102","109","114"
"220","1029","134","80","96","101"
"225","1041","157","92","99","104"
"230","1044","188","90","97","102"
"235","1047","189","77","99","104"
"240","1134","169","99","106","111"
"245","1133","148","102","109","114"
"250","1138","144","83","105","110"
"255","1106","143","98","105","110"
"260","1085","140","95","102","107"
"265","1091","163","64","102","107"
"270","1161","173","104","111","116"
"275","1144","170","101","108","113"
"280","1053","158","62","98","103"
"285","1011","182","87","94","99"
"290","1110","199","96","103","108"
"295","1051","189","63","99","104"
"300","1082","195","94","101","106"
"305","1050","159","93","100","105"
"310","1016","133","86","95","100"
"315","1063","160","94","101","106"
"320","1018","154","88","95","100"
"325","1025","155","77","97","102"
"330","1199","178","108","115","120"
"335","1190","176","104","111","116"
"340","1069","160","78","99","104"
"345","1037","156","91","98","103"
"350","1043","188","90","97","102"
"355","1045","188","83","98","103"
"360","1004","181","87","94","99"
"365","1016","183","88","95","100"
"370","1141","169","80","107","112"
"375","974","130","85","92","97"
"380","1112","143","98","105","110"
"385","1052","139","81","100","105"
"390","1047","158","92","99","104"
"395","1043","157","90","97","102"
"400","1034","155","58","96","101"
"405","1008","153","88","95","100"
"410","1043","188","91","98","103"
"415","1073","193","79","101","106"
"420","1071","193","93","100","105"
"425","1078","194","94","101","106"
"430","1091","163","60","102","107"
"435","1089","144","98","105","110"
"440","1050","159","93","100","105"
"445","1065","192","71","100","105"
"450","1332","238","121","128","133"
"455","1291","189","114","121","126"
"460","1137","145","78","106","111"
"465","1114","169","102","109","114"
"470","1124","202","98","105","110"
"475","1175","211","67","111","116"
"480","1093","164","96","103","108"
"485","1178","151","105","112","117"
"490","1083","162","82","101","106"
"495","1091","197","97","104","109"
"500","1083","195","95","102","107"
"505","1169","175","86","112","117"
"510","1390","174","128","135","140"
"515","1224","185","116","123","128"
"520","1087","195","78","102","107"
"525","999","181","87","94","99"
"530","1046","157","91","98","103"
"535","1071","143","79","104","109"
"540","1088","140","95","102","107"
"545","1119","145","99","106","111"
"550","1121","143","69","104","109"
"555","1115","146","100","107","112"
"560","1152","147","101","108","113"
"565","1189","152","76","113","118"
"570","1345","167","122","129","134"
"575","1128","145","99","106","111"
"580","1037","156","74","97","102"
"585","1021","184","89","96","101"
"590","1059","191","93","100","105"
"595","1066","160","68","101","106"
"600","1086","141","96","103","108"
"605","1115","146","101","108","113"
"610","1164","153","87","114","119"
"615","1134","146","100","107","112"
"620","1091","163","95","102","107"
"625","1108","200","82","105","110"
"630","1368","245","126","133","138"
"635","1228","220","110","117","122"
"640","930","169","75","87","92"
"645","1139","171","103","110","115"
"650","1173","154","108","115","120"
"655","1151","148","92","110","115"
"660","1150","146","101","108","113"
"665","1050","138","92","99","104"
"670","953","145","70","89","94"
"675","975","149","86","93","98"
"680","1133","171","104","111","116"
"685","1112","166","79","104","109"
"690","1334","196","120","127","132"
"695","1150","171","101","108","113"
"700","939","143","50","87","92"
"705","1103","165","97","104","109"
"710","1086","163","95","102","107"
"715","1137","170","85","108","113"
"720","982","148","84","91","96"
"725","994","152","88","95","100"
"730","1047","157","70","98","103"
"735","1047","157","91","98","103"
"740","1127","168","99","106","111"
"745","1051","159","59","101","106"
"750","1419","207","128","135","140"
"755","1175","174","104","111","116"
"760","1136","169","87","107","112"
"765","1056","159","93","100","105"
"770","1014","153","88","95","100"
"775","1093","163","71","102","107"
"780","1006","152","88","95","100"
"785","1105","165","97","104","109"
"790","1014","153","64","95","100"
"795","1075","162","95","102","107"
"800","1152","171","101","108","113"
"805","1023","155","74","96","101"
"810","1337","196","120","127","132"
"815","1132","170","102","109","114"
"820","1133","169","77","108","113"
"825","993","179","85","92","97"
"830","1051","190","92","99","104"
"835","1019","153","76","95","100"
"840","1082","140","94","101","106"
"845","1070","139","93","100","105"
"850","1100","143","83","104","109"
"855","1152","149","103","110","115"
"860","1031","135","89","96","101"
"865","1096","142","70","103","108"
"870","1240","157","111","118","123"
"875","1235","182","110","117","122"
"880","1164","174","79","111","116"
"885","1176","176","107","114","119"
"890","1209","180","110","117","122"
"895","1127","168","82","106","111"
"900","1042","158","93","100","105"
"905","1075","162","96","103","108"
"910","1070","193","81","102","107"
"915","1130","203","101","108","113"
"920","1064","160","93","100","105"
"925","1123","149","96","110","115"
"930","1342","168","122","129","134"
"935","1152","147","101","108","113"
"940","1031","155","81","96","101"
"945","1033","187","91","98","103"
"950","1086","196","95","102","107"
"955","1099","165","61","104","109"
"960","1042","136","91","98","103"
"965","967","147","84","91","96"
"970","1136","169","71","106","111"
"975","1101","165","97","104","109"
"980","1061","159","93","100","105"
"985","1123","171","94","113","118"
"990","1108","167","99","106","111"
"995","1274","192","123","130","135"
"1000","1147","207","85","110","115"
"1005","1027","185","89","96","101"
"1010","1043","156","90","97","102"
"1015","1157","149","85","110","115"
"1020","1025","136","90","97","102"
"1025","1089","142","96","103","108"
"1030","1092","163","81","102","107"
"1035","983","149","86","93","98"
"1040","938","143","80","87","92"
"1045","990","150","67","93","98"
"1050","1266","227","114","121","126"
"1055","1305","233","117","124","129"
"1060","1124","202","89","106","111"
"1065","1196","215","107","114","119"
"1070","1112","166","97","104","109"
"1075","1070","141","83","102","107"
"1080","1072","161","93","100","105"
"1085","1106","199","96","103","108"
"1090","1072","194","84","103","108"
"1095","1078","195","97","104","109"
"1100","1072","193","93","100","105"
"1105","1106","165","73","103","108"
"1110","1257","159","113","120","125"
"1115","1166","173","103","110","115"
"1120","1073","194","75","102","107"
"1125","1068","193","94","101","106"
"1130","1087","162","95","102","107"
"1135","1063","139","55","101","106"
"1140","1079","162","96","103","108"
"1145","1103","199","99","106","111"
"1150","1129","204","92","112","117"
"1155","1087","196","97","104","109"
