"INDEX(MINUTES)","ACTUAL- CPU USAGE","ACTUAL MEMORY USAGE","CURRENT VM RUNNING COST(BASED ON INPUT FROM  DATASET )","STDVM-CURRENT VM RUNNING COST","IQRMC-CURRENT VM RUNNING COST","IQRMMT-CURRENT VM RUNNING COST","LRMMT-CURRENT VM RUNNING COST"
"0","153","944","0.81388","0.86601","1.56004","1.56004","1.56004"
"5","152","960","0.81632","0.86601","1.56004","1.56004","1.56004"
"10","148","870","0.77218","0.86601","1.56004","1.56004","1.56004"
"15","157","983","0.84017","1.18564","1.56004","1.56004","1.56004"
"20","149","1000","0.82084","1.18564","1.56004","1.56004","1.56004"
"25","157","1009","0.84927","1.18564","1.56004","1.56004","1.56004"
"30","157","1094","0.87902","1.18564","1.56004","1.56004","1.56004"
"35","159","1029","0.86259","1.31446","1.56004","1.56004","1.56004"
"40","151","767","0.74561","1.46504","1.56004","1.56004","1.56004"
"45","158","893","0.81183","1.46504","1.56004","1.56004","1.56004"
"50","152","980","0.82332","1.46504","1.56004","1.56004","1.56004"
"55","153","860","0.78448","1.46504","1.56004","1.56004","1.56004"
"60","152","901","0.79567","1.46504","1.56004","1.56004","1.56004"
"65","155","998","0.8391","1.46504","1.56004","1.56004","1.56004"
"70","144","901","0.77039","1.46504","1.56004","1.56004","1.56004"
"75","144","958","0.79034","1.46504","1.56004","1.56004","1.56004"
"80","145","860","0.7592","1.46504","1.56004","1.56004","1.56004"
"85","141","966","0.78366","1.46504","1.56004","1.56004","1.56004"
"90","147","1178","0.87682","1.46504","1.56004","1.56004","1.56004"
"95","136","999","0.77941","1.46504","1.56004","1.56004","1.56004"
"100","150","819","0.76065","1.46504","1.56004","1.56004","1.56004"
"105","157","996","0.84472","1.46504","1.56004","1.56004","1.56004"
"110","155","931","0.81565","1.46504","1.56004","1.56004","1.56004"
"115","151","865","0.77991","1.46504","1.56004","1.56004","1.56004"
"120","151","764","0.74456","1.56004","1.56004","1.56004","1.56004"
"125","157","813","0.78067","1.56004","1.56004","1.56004","1.56004"
"130","150","870","0.7785","1.46504","1.56004","1.56004","1.56004"
"135","153","931","0.80933","1.31446","1.56004","1.56004","1.56004"
"140","152","893","0.79287","1.31446","1.56004","1.56004","1.56004"
"145","157","936","0.82372","1.31446","1.56004","1.56004","1.56004"
"150","160","940","0.8346","1.31446","1.56004","1.56004","1.56004"
"155","150","911","0.79285","1.31446","1.56004","1.56004","1.56004"
"160","159","917","0.82339","1.31446","1.56004","1.56004","1.56004"
"165","170","900","0.8522","1.31446","1.56004","1.56004","1.56004"
"170","150","940","0.803","1.31446","1.56004","1.56004","1.56004"
"175","156","945","0.82371","1.31446","1.56004","1.56004","1.56004"
"180","151","933","0.80371","1.31446","1.56004","1.56004","1.56004"
"185","153","900","0.79848","1.46504","1.56004","1.56004","1.56004"
"190","154","900","0.80164","1.56004","1.56004","1.56004","1.56004"
"195","157","960","0.83212","1.56004","1.56004","1.56004","1.56004"
"200","152","900","0.79532","1.46504","1.56004","1.56004","1.56004"
"205","156","950","0.82546","1.31446","1.56004","1.56004","1.56004"
"210","159","1010","0.85594","1.31446","1.56004","1.56004","1.56004"
"215","156","995","0.84121","1.31446","1.56004","1.56004","1.56004"
"220","149","880","0.77884","1.31446","1.56004","1.56004","1.56004"
"225","157","884","0.80552","1.46504","1.56004","1.56004","1.56004"
"230","151","893","0.78971","1.56004","1.56004","1.56004","1.56004"
"235","157","890","0.80762","1.56004","1.56004","1.56004","1.56004"
"240","151","983","0.82121","1.46504","1.56004","1.56004","1.56004"
"245","163","970","0.85458","1.31446","1.56004","1.56004","1.56004"
"250","145","993","0.80575","1.31446","1.56004","1.56004","1.56004"
"255","156","950","0.82546","1.31446","1.56004","1.56004","1.56004"
"260","152","933","0.80687","1.31446","1.56004","1.56004","1.56004"
"265","151","940","0.80616","1.46504","1.56004","1.56004","1.56004"
"270","161","1000","0.85876","1.46504","1.56004","1.56004","1.56004"
"275","156","988","0.83876","1.46504","1.56004","1.56004","1.56004"
"280","150","903","0.79005","1.46504","1.56004","1.56004","1.56004"
"285","151","860","0.77816","1.56004","1.56004","1.56004","1.56004"
"290","149","961","0.80719","1.56004","1.56004","1.56004","1.56004"
"295","153","898","0.79778","1.56004","1.56004","1.56004","1.56004"
"300","152","930","0.80582","1.56004","1.56004","1.56004","1.56004"
"305","160","890","0.8171","1.46504","1.56004","1.56004","1.56004"
"310","151","865","0.77991","1.31446","1.56004","1.56004","1.56004"
"315","160","903","0.82165","1.46504","1.56004","1.56004","1.56004"
"320","153","865","0.78623","1.46504","1.56004","1.56004","1.56004"
"325","157","868","0.79992","1.46504","1.56004","1.56004","1.56004"
"330","162","1037","0.87487","1.46504","1.56004","1.56004","1.56004"
